timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626903127401,56,OpenRandomPost,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-1,,true,,35019,2368,2,2,null,48,300,0
1626903128057,150,12/admin/app/editor/editpost.cshtml-181,200,OK,Editor 1-2,text,true,,1044532,11271,2,2,http://192.168.56.101/admin/app/editor/editpost.cshtml?id=49301e10-8f3b-4d69-9c92-f62b08a6b0c0,11,0,0
1626903128057,11,12/admin/app/editor/editpost.cshtml-181-0,200,OK,Editor 1-2,text,true,,22729,1232,2,2,http://192.168.56.101/admin/app/editor/editpost.cshtml?id=49301e10-8f3b-4d69-9c92-f62b08a6b0c0,11,0,0
1626903128070,137,12/admin/app/editor/editpost.cshtml-181-1,200,OK,Editor 1-2,text,true,,1143,421,2,2,"http://fonts.googleapis.com/css?family=Roboto:300,400,500",137,0,0
1626903128070,26,12/admin/app/editor/editpost.cshtml-181-2,200,OK,Editor 1-2,text,true,,154662,1223,2,2,http://192.168.56.101/Content/admincss?v=DLFtuUEdbdFJ3l3-BI2Ol0kPGJClzu9gDf3nqkFRVj41,14,0,0
1626903128070,34,12/admin/app/editor/editpost.cshtml-181-3,200,OK,Editor 1-2,text,true,,121985,1202,2,2,http://192.168.56.101/admin/themes/standard/css/styles.css?ver=4,32,0,0
1626903128070,8,12/admin/app/editor/editpost.cshtml-181-4,200,OK,Editor 1-2,text,true,,31629,1190,2,2,http://192.168.56.101/admin/app/editor/admin.res.axd,8,0,0
1626903128072,17,12/admin/app/editor/editpost.cshtml-181-5,200,OK,Editor 1-2,bin,true,,6255,1192,2,2,http://192.168.56.101/Content/images/blog/noavatar.jpg,17,0,0
1626903128072,24,12/admin/app/editor/editpost.cshtml-181-6,200,OK,Editor 1-2,bin,true,,4740,1202,2,2,http://192.168.56.101/admin/themes/standard/img/logo-sidebar.png,24,0,0
1626903128078,50,12/admin/app/editor/editpost.cshtml-181-7,200,OK,Editor 1-2,text,true,,374142,1222,2,2,http://192.168.56.101/scripts/wysiwyg?v=GVduPfY5tyIFglWNPtdPkna-dC_JxfW2kMSgqxcIH1g1,34,0,0
1626903128089,43,12/admin/app/editor/editpost.cshtml-181-8,200,OK,Editor 1-2,text,true,,325738,1196,2,2,http://192.168.56.101/admin/editors/tinymce/tinymce.min.js,27,0,2
1626903128096,27,12/admin/app/editor/editpost.cshtml-181-9,200,OK,Editor 1-2,text,true,,1509,1191,2,2,http://192.168.56.101/admin/editors/tinymce/editor.js,27,0,0
1626903128057,152,12/admin/app/editor/editpost.cshtml-181,200,OK,Editor 1-1,text,true,,743896,11271,2,2,http://192.168.56.101/admin/app/editor/editpost.cshtml?id=0c4f91bd-06a9-4a55-b8b3-463921d6d001,16,0,0
1626903128057,16,12/admin/app/editor/editpost.cshtml-181-0,200,OK,Editor 1-1,text,true,,22729,1232,2,2,http://192.168.56.101/admin/app/editor/editpost.cshtml?id=0c4f91bd-06a9-4a55-b8b3-463921d6d001,16,0,0
1626903128074,135,12/admin/app/editor/editpost.cshtml-181-1,200,OK,Editor 1-1,text,true,,1143,421,2,2,"http://fonts.googleapis.com/css?family=Roboto:300,400,500",135,0,0
1626903128074,22,12/admin/app/editor/editpost.cshtml-181-2,200,OK,Editor 1-1,text,true,,154662,1223,2,2,http://192.168.56.101/Content/admincss?v=DLFtuUEdbdFJ3l3-BI2Ol0kPGJClzu9gDf3nqkFRVj41,19,0,0
1626903128075,24,12/admin/app/editor/editpost.cshtml-181-3,200,OK,Editor 1-1,text,true,,36668,1202,2,2,http://192.168.56.101/admin/themes/standard/css/styles.css?ver=4,23,0,0
1626903128076,14,12/admin/app/editor/editpost.cshtml-181-4,200,OK,Editor 1-1,text,true,,31629,1190,2,2,http://192.168.56.101/admin/app/editor/admin.res.axd,14,0,0
1626903128076,22,12/admin/app/editor/editpost.cshtml-181-5,200,OK,Editor 1-1,bin,true,,6255,1192,2,2,http://192.168.56.101/Content/images/blog/noavatar.jpg,22,0,0
1626903128077,23,12/admin/app/editor/editpost.cshtml-181-6,200,OK,Editor 1-1,bin,true,,4740,1202,2,2,http://192.168.56.101/admin/themes/standard/img/logo-sidebar.png,23,0,2
1626903128091,32,12/admin/app/editor/editpost.cshtml-181-7,200,OK,Editor 1-1,text,true,,374142,1222,2,2,http://192.168.56.101/scripts/wysiwyg?v=GVduPfY5tyIFglWNPtdPkna-dC_JxfW2kMSgqxcIH1g1,26,0,0
1626903128097,19,12/admin/app/editor/editpost.cshtml-181-8,200,OK,Editor 1-1,text,true,,110419,1196,2,2,http://192.168.56.101/admin/editors/tinymce/tinymce.min.js,17,0,0
1626903128098,25,12/admin/app/editor/editpost.cshtml-181-9,200,OK,Editor 1-1,text,true,,1509,1191,2,2,http://192.168.56.101/admin/editors/tinymce/editor.js,25,0,0
1626903128509,26,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-121,200,OK,Editor 1-2,text,true,,743,1244,2,2,http://192.168.56.101/api/posts/49301e10-8f3b-4d69-9c92-f62b08a6b0c0,26,0,0
1626903128511,37,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-121,200,OK,Editor 1-1,text,true,,736,1244,2,2,http://192.168.56.101/api/posts/0c4f91bd-06a9-4a55-b8b3-463921d6d001,37,0,0
1626903128837,15,1/api/customfields-123,200,OK,Editor 1-2,text,true,,231,1316,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22POST%22+%26%26+ObjectId+%3D%3D+%2249301e10-8f3b-4d69-9c92-f62b08a6b0c0%22,15,0,0
1626903128849,10,1/api/customfields-123,200,OK,Editor 1-1,text,true,,231,1316,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22POST%22+%26%26+ObjectId+%3D%3D+%220c4f91bd-06a9-4a55-b8b3-463921d6d001%22,10,0,0
1626903129152,6,1/api/customfields-122,200,OK,Editor 1-2,text,true,,231,1253,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22PROFILE%22,6,0,0
1626903127757,197,ClickEdit,200,"Number of samples in transaction : 4, number of failing samples : 0",Editor 1-2,,true,,1045737,15084,2,2,null,58,1204,0
1626903129160,5,1/api/customfields-122,200,OK,Editor 1-1,text,true,,231,1253,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22PROFILE%22,5,0,0
1626903127757,204,ClickEdit,200,"Number of samples in transaction : 4, number of failing samples : 0",Editor 1-1,,true,,745094,15084,2,2,null,68,1205,0
1626903130058,16,UpdatePost,500,Internal Server Error,Editor 1-2,text,false,,285,1824,2,2,http://192.168.56.101/api/posts/update/foo,16,0,0
1626903130066,24,UpdatePost,200,OK,Editor 1-1,,true,,182,1798,2,2,http://192.168.56.101/api/posts/update/foo,24,0,0
1626903130975,10,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-125,200,OK,Editor 1-2,text,true,,743,1244,2,2,http://192.168.56.101/api/posts/49301e10-8f3b-4d69-9c92-f62b08a6b0c0,10,0,0
1626903130991,7,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-125,200,OK,Editor 1-1,text,true,,717,1244,2,2,http://192.168.56.101/api/posts/0c4f91bd-06a9-4a55-b8b3-463921d6d001,7,0,0
1626903131886,26,1/api/customfields-126,200,OK,Editor 1-2,,true,,182,1312,2,2,http://192.168.56.101/api/customfields,26,0,0
1626903131898,14,1/api/customfields-126,200,OK,Editor 1-1,,true,,182,1312,2,2,http://192.168.56.101/api/customfields,14,0,0
1626903129158,52,Updated,,"Number of samples in transaction : 3, number of failing samples : 1",Editor 1-2,,false,,1210,4380,2,2,null,52,2702,0
1626903129166,45,Updated,200,"Number of samples in transaction : 3, number of failing samples : 0",Editor 1-1,,true,,1081,4354,2,2,null,45,2701,0
1626903132213,31,ClickCalendarMonthJune,200,OK,Editor 1-2,text,true,,5092,2553,2,2,http://192.168.56.101/,31,0,0
1626903132213,35,ClickCalendarMonthJune,200,OK,Editor 1-1,text,true,,5092,2553,2,2,http://192.168.56.101/,35,0,0
